x,y,f_x,f_y
-0.3340897799478432,-8.087822534340297,1.9415375609976397,-1.336359119791373
-0.3146744043378668,-8.101186125538211,1.9492219215005149,-1.2586976173514672
-0.29518218512286165,-8.113773101711725,1.9567889165133028,-1.1807287404914466
-0.27561429595772863,-8.12558038911664,1.9642344914892178,-1.1024571838309145
-0.25597195104283643,-8.13660496095495,1.9715544966657677,-1.0238878041713457
-0.23625640607617876,-8.146843838996663,1.9787446880465525,-0.945025624304715
-0.21646895919571324,-8.15629409523971,1.9858007285456554,-0.865875836782853
-0.19661095191025668,-8.164952853607538,1.9927181893014287,-0.7864438076410267
-0.1766837700172424,-8.172817291683948,1.9994925511664405,-0.7067350800689696
-0.156688844505578,-8.179884642484637,2.0061192063802755,-0.626755378022312
-0.13662765244177524,-8.18615219626486,2.0125934604318054,-0.546510609767101
-0.11650171783745719,-8.19161730236253,2.0189105341174116,-0.46600687134982877
-0.09631261249628308,-8.196277371076029,2.0250655658015044,-0.3852504499851323
-0.07606195683826802,-8.20012987557588,2.031053613885493,-0.3042478273530721
-0.05575142069941309,-8.20317235384941,2.0368696594911535,-0.22300568279765237
-0.03538272410450156,-8.205402410677387,2.0425086093640847,-0.14153089641800623
-0.01495763801086071,-8.206817719641567,2.047965299002664,-0.05983055204344284
0.005522014979165931,-8.207416025162,2.0532344960175846,0.022088059916663724
0.026054359939341777,-8.207195144562833,2.0583109037266993,0.10421743975736711
0.04663746897660877,-8.20615297016526,2.06318916498949,0.18654987590643507
0.06726936062650367,-8.204287471406195,2.067863866285041,0.2690774425060147
0.08794799928935408,-8.201596696981134,2.0723295420369063,0.3517919971574163
0.10867129470972314,-8.19807877700956,2.076580679187738,0.43468517883889257
0.12943710150160054,-8.19373192522117,2.08061172202597,0.5177484060064022
0.15024321872186025,-8.188554441161106,2.0844170772662314,0.600972874887441
0.17108738949452257,-8.18254471241223,2.0879911193845175,0.6843495579780903
0.19196730068836776,-8.175701216832449,2.091328196208434,0.767869202753471
0.2128805826504521,-8.168022524804915,2.0944226347620924,0.8515223306018084
0.233824808998073,-8.159507301498897,2.097268747364446,0.935299235992292
0.25479749647171746,-8.150154309138975,2.0998608379790227,1.0191899858868698
